,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
73,14,상의,니트/스웨터,MELANGE MASTER,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210917/2140183/2140183_2_500.jpg?t=20211020122140
74,14,바지,코튼 팬츠,FRIZMWORKS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210928/2149714/2149714_1_500.jpg?t=20210930215100
75,14,주얼리,목걸이/펜던트,QUARQOR,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20180220/719088/719088_1_500.jpg?t=20190425165232
76,14,가방,토트백,CRATERS,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210925/2146380/2146380_1_500.jpg?t=20210925111605
77,14,신발,부츠,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20171106/665782/665782_4_500.jpg?t=20220623095338
78,15,바지,점프 슈트/오버올,HELEMENT,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220425/2513837/2513837_1_500.jpg?t=20220425215057
79,15,상의,반소매 티셔츠,AFOND,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220419/2501751/2501751_1_500.jpg?t=20220419225711
80,15,시계,쿼츠 아날로그,REEBOK WATCH,,2022 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20220210/2352209/2352209_1_500.jpg?t=20220210141008
81,15,신발,부츠,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20170907/626636/626636_4_500.jpg?t=20220623095514
82,16,상의,셔츠/블라우스,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220118/2312251/2312251_2_500.jpg?t=20220421163154
83,16,모자,헌팅캡/베레모,UNIVERSAL CHEMISTRY,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210217/1799275/1799275_1_500.jpg?t=20210217170750
84,16,주얼리,팔찌,PIGANDHEN,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210706/2021397/2021397_4_500.jpg?t=20221101090213
85,16,가방,메신저/크로스 백,MAZI UNTITLED,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20211112/2229308/2229308_1_500.jpg?t=20211112152429
86,16,스니커즈,기타 스니커즈,NEW BALANCE,,2022 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20220412/2481110/2481110_1_500.jpg?t=20220412110935
87,17,바지,코튼 팬츠,RAMOLIN,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220422/2510394/2510394_1_500.jpg?t=20220506145733
88,17,모자,버킷/사파리햇,TNP,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220412/2482741/2482741_1_500.jpg?t=20220412164716
89,17,주얼리,팔찌,HAKKABLACKS,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220427/2517274/2517274_1_500.jpg?t=20220628171753
90,17,가방,백팩,GREGORY,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210514/1952315/1952315_13_500.jpg?t=20220621212628
91,17,신발,샌들,ANTICHI ROMANI,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220504/2541960/2541960_2_500.jpg?t=20220518152244
92,18,아우터,숏패딩/숏헤비 아우터,FRIZMWORKS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211018/2182552/2182552_1_500.jpg?t=20211020171544
93,18,상의,셔츠/블라우스,TAKEASY,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211102/2212362/2212362_2_500.jpg?t=20211123103505
94,18,상의,니트/스웨터,COSTUME O’CLOCK,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210928/2150025/2150025_2_500.jpg?t=20210929100804
95,18,신발,모카신/보트 슈즈,COVERNAT,,2022 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211006/2163860/2163860_2_500.jpg?t=20220916185219
96,19,상의,셔츠/블라우스,QCUMBERS,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220404/2464011/2464011_1_500.jpg?t=20220404121034
97,19,모자,버킷/사파리햇,BEARDED KID,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220304/2397702/2397702_2_500.jpg?t=20220524102638
98,19,주얼리,팔찌,KLIPS URBAN,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210302/1820059/1820059_1_500.jpg?t=20210302022812
99,19,주얼리,팔찌,KLIPS URBAN,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210223/1808957/1808957_1_500.jpg?t=20210223042429
100,19,가방,메신저/크로스 백,OURDAYZ,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220324/2441820/2441820_1_500.jpg?t=20220325094019
101,19,신발,샌들,CHUBASCO,,2021 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20210427/1923319/1923319_1_500.jpg?t=20210427171250
102,20,아우터,숏패딩/숏헤비 아우터,UNIFORM BRIDGE,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211012/2172113/2172113_1_500.jpg?t=20211020140932
103,20,상의,피케/카라 티셔츠,UC BERKELEY,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210820/2073548/2073548_1_500.jpg?t=20210823132352
104,20,바지,코튼 팬츠,ROUGHSIDE,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210905/2109208/2109208_1_500.jpg?t=20210905181130
105,20,선글라스/안경테,안경,SEMICOLON EYEWEAR,,2020 ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20201012/1644253/1644253_3_500.jpg?t=20201204103904
106,20,가방,메신저/크로스 백,RAWROW,,0,남 여,,,,,https://image.msscdn.net/images/goods_img/20211207/2259671/2259671_2_500.jpg?t=20211209102655
107,21,아우터,나일론/코치 재킷,ESPIONAGE,,ALL,남,,,,,https://image.msscdn.net/images/goods_img/20190902/1139262/1139262_5_500.jpg?t=20210818121920
108,21,상의,셔츠/블라우스,PARTIMENTO,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220302/2392759/2392759_2_500.jpg?t=20220524174250
109,21,바지,코튼 팬츠,ESPIONAGE,,2022 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20220822/2732363/2732363_1_500.jpg?t=20220823142313
110,21,가방,백팩,ANALOG MOOD,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200616/1486084/1486084_1_500.jpg?t=20200616105725
111,22,아우터,블루종/MA-1,OTHERFITS,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211105/2219490/2219490_1_500.jpg?t=20211105110930
112,22,상의,셔츠/블라우스,LMOOD,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210810/2056060/2056060_2_500.jpg?t=20210906141432
113,22,바지,코튼 팬츠,AGENT PEEK,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20211102/2210936/2210936_3_500.jpg?t=20220314145807
114,22,모자,캡/야구 모자,COLDWARM,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20211112/2228960/2228960_1_500.jpg?t=20211112114155
115,22,가방,토트백,NFL,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20211005/2161715/2161715_1_500.jpg?t=20211005131523
116,22,신발,부츠,REDWING,,2021 F/W,남,,,,,https://image.msscdn.net/images/goods_img/20210907/2114459/2114459_2_500.jpg?t=20220609141426
117,23,상의,셔츠/블라우스,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220118/2312251/2312251_2_500.jpg?t=20220421163154
118,23,바지,데님 팬츠,OURDAYZ,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220324/2441810/2441810_1_500.jpg?t=20220325093933
119,23,모자,헌팅캡/베레모,UNIVERSAL CHEMISTRY,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210905/2109279/2109279_1_500.jpg?t=20210905203349
120,23,주얼리,팔찌,CRAFTLINK,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200818/1552012/1552012_1_500.jpg?t=20200818125533
121,23,주얼리,팔찌,PIGANDHEN,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220405/2467044/2467044_3_500.jpg?t=20221101091715
122,24,상의,긴소매 티셔츠,MUSINSA STANDARD,,0,남,,,,,https://image.msscdn.net/images/goods_img/20190826/1129746/1129746_3_500.jpg?t=20201109180915
123,24,바지,코튼 팬츠,GRAMICCI,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220204/2341140/2341140_4_500.jpg?t=20220303101149
124,24,스니커즈,캔버스/단화,VANS,,2022 S/S,남 여,,,,,https://image.msscdn.net/images/goods_img/20220406/2468793/2468793_1_500.jpg?t=20220419101602
